ID,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8,QC9,QC10,QC11,QC12,QC13,QC14,QC15,QC16,QC17,QC18,QC19,QC20,QC21,QC22,QC23,QC24,QC25,QC26,QC27,QC28,QC29,QC30,QC31,QC32,QC33,QC34,QC35,QC36,QC37,QC38,QC39,QC40,QC41,QC42,QC43,QC44,QC45,QC46,QC47,QC48,QC49,QC50,QCTIME
150007670,5,4,4,3,5,3,5,3,5,3,4,4,2,3,1,3,3,4,4,4,4,4,2,5,4,5,5,3,1,0,4,3,5,5,1,4,2,2,2,4,2,2,2,2,1,4,2,2,4,4,9/1/2013 9:35:23 AM
152001458,2,4,5,3,5,2,1,4,2,2,4,3,5,2,2,5,4,4,5,1,2,4,1,2,2,2,4,4,3,4,4,3,4,4,1,4,2,2,3,4,2,4,3,4,2,3,1,1,4,1,9/1/2013 11:31:16 AM
152004033,3,4,4,4,4,3,2,3,5,2,3,4,4,5,2,5,3,4,5,3,3,4,2,3,4,2,5,3,4,5,4,3,4,3,2,4,2,2,2,4,2,3,4,3,4,4,2,2,4,2,9/1/2013 11:44:38 AM
150001090,3,4,3,3,5,4,2,1,5,2,5,3,5,5,1,3,5,5,4,2,2,5,2,3,2,2,4,2,3,4,4,1,5,2,1,4,3,1,3,3,4,5,1,5,4,5,2,3,4,2,9/2/2013 9:57:41 PM
151004594,2,4,5,1,4,3,2,1,4,3,2,1,2,4,2,2,4,4,5,2,2,2,3,1,2,2,5,2,2,5,4,4,4,4,1,4,1,2,3,5,2,1,1,5,1,2,1,2,4,2,9/3/2013 2:54:30 PM
152006956,2,4,4,5,5,2,4,2,4,4,4,4,5,2,4,4,4,3,4,2,2,4,2,4,2,2,4,2,4,4,4,2,4,4,2,4,4,2,4,4,2,4,4,3,4,4,3,2,4,2,9/3/2013 3:55:48 PM
152009603,4,3,4,3,3,4,3,3,5,3,3,4,4,4,2,4,2,4,4,2,3,4,2,4,4,2,4,3,2,4,4,3,4,3,1,4,3,2,3,3,1,3,2,4,2,3,2,2,3,3,9/3/2013 5:15:56 PM
153001402,5,2,4,2,4,5,3,4,4,3,4,5,4,5,4,2,2,3,3,3,4,5,3,4,4,4,5,2,2,4,4,5,5,4,3,3,4,2,4,3,4,2,2,4,4,4,3,2,4,4,9/4/2013 11:59:43 AM
153007737,3,3,4,3,4,1,1,2,4,2,4,4,4,5,1,4,4,4,5,1,1,5,3,3,2,1,4,4,3,5,4,1,5,5,1,5,1,1,2,4,2,2,2,4,1,4,2,2,2,2,9/4/2013 3:51:52 PM
151003781,5,2,1,1,3,4,3,2,5,2,1,5,4,5,5,2,2,3,3,4,4,4,2,3,5,1,5,1,3,2,4,2,4,3,2,1,3,1,3,2,3,2,4,4,5,3,3,1,5,4,9/4/2013 6:32:28 PM
152001281,4,4,4,3,5,3,3,3,4,5,5,4,3,5,3,3,0,4,5,3,4,5,3,4,4,3,4,4,4,5,4,4,5,3,2,3,2,2,4,4,3,4,4,4,2,5,3,2,4,3,9/5/2013 10:47:02 AM
150005248,2,4,3,4,4,2,1,4,2,4,3,2,5,3,2,4,4,5,5,2,3,4,2,2,2,1,5,4,3,5,4,5,5,4,1,5,2,2,3,4,2,4,3,4,5,4,1,1,4,1,9/5/2013 11:05:21 PM
152007350,4,4,5,3,5,3,2,2,4,4,4,3,4,4,2,4,4,4,5,2,2,3,2,4,4,2,5,3,5,4,4,5,3,4,2,5,2,2,2,4,1,4,4,4,4,3,2,2,4,2,9/6/2013 8:46:16 AM
151004095,4,4,2,2,4,5,5,5,5,1,2,3,5,5,4,2,3,4,5,5,2,3,2,3,4,4,4,1,2,4,4,5,5,5,2,3,3,3,4,2,3,4,1,3,2,4,5,1,4,4,9/6/2013 5:59:36 PM
152007408,4,4,5,3,5,1,4,2,5,3,4,3,5,4,4,5,4,3,3,3,3,5,1,2,5,5,4,3,5,5,4,3,5,2,2,5,4,3,1,5,2,5,3,5,2,5,3,3,5,2,9/6/2013 6:05:20 PM
138009355,4,3,4,2,5,4,3,4,4,2,3,1,5,5,3,3,4,4,5,3,3,4,0,0,0,0,0,0,0,0,1,1,3,4,3,3,2,3,2,3,3,4,2,4,3,4,1,1,3,3,9/6/2013 9:22:53 PM
151003766,4,4,4,4,2,2,1,2,4,3,4,2,3,4,2,4,4,4,5,2,2,3,3,2,3,2,4,3,3,4,4,3,5,4,1,3,4,3,4,3,3,3,3,5,3,5,1,2,2,3,9/7/2013 4:34:36 PM
153004719,4,4,3,2,4,3,2,3,4,4,3,4,5,4,2,3,3,4,4,3,3,4,2,3,4,2,5,4,3,4,4,4,4,5,1,3,2,1,4,4,2,2,3,4,4,3,2,2,5,2,9/7/2013 5:09:58 PM
151005994,4,3,3,2,4,3,2,3,4,2,3,4,3,5,3,3,3,2,2,4,4,3,4,4,5,3,2,3,2,3,4,4,4,3,2,3,4,4,2,3,3,1,1,3,5,3,4,2,3,3,9/7/2013 6:15:51 PM
151001113,5,5,5,2,5,3,4,2,5,5,5,5,4,5,1,4,5,3,5,3,2,5,2,5,5,5,5,3,5,5,4,3,5,4,3,5,3,1,5,4,1,5,3,5,5,5,1,1,3,1,9/7/2013 7:20:23 PM
153002842,3,4,5,3,4,2,2,2,4,4,4,5,2,1,4,2,4,3,5,2,2,4,2,2,2,2,4,3,2,4,4,4,4,3,4,4,3,2,2,4,4,4,2,4,2,4,5,1,2,4,9/7/2013 8:24:30 PM
153003316,5,2,3,5,5,5,2,3,5,4,2,3,5,5,3,4,3,5,5,3,5,4,5,3,5,3,5,2,5,5,4,3,5,5,3,4,5,1,4,2,1,3,4,5,5,5,3,1,5,5,9/8/2013 9:45:43 AM
153000153,2,2,4,3,3,2,1,4,0,4,3,3,2,1,2,3,3,4,4,4,3,4,2,3,4,2,2,4,3,4,4,2,3,3,2,3,2,3,3,4,3,2,1,2,3,3,2,3,4,2,9/8/2013 11:26:56 AM
152007561,2,4,3,3,1,1,2,1,1,2,2,1,5,2,3,2,3,2,4,2,1,2,1,1,1,1,5,2,2,4,4,1,3,2,1,2,1,1,1,4,1,3,2,4,3,3,1,2,5,2,9/8/2013 11:28:45 AM
151005002,4,4,4,3,4,2,1,3,4,5,3,4,5,4,2,4,3,4,4,4,2,2,4,2,4,2,5,4,4,5,4,2,5,5,1,4,1,1,4,4,2,4,2,4,4,5,2,1,4,2,9/8/2013 11:30:42 AM
151002469,3,3,2,2,3,3,2,2,4,4,4,4,4,4,2,4,2,4,4,3,3,3,2,3,4,2,4,3,4,4,4,2,4,4,2,4,2,2,2,4,3,3,3,4,2,3,1,1,5,1,9/8/2013 11:32:20 AM
150007022,3,4,3,4,1,1,3,4,4,3,4,1,3,2,3,4,4,3,1,4,4,5,3,3,1,5,4,4,3,3,3,2,2,5,4,3,5,2,2,3,4,4,0,1,3,4,2,3,2,4,9/8/2013 11:32:20 AM
153001662,3,2,3,2,4,4,3,3,3,2,2,4,4,4,3,3,3,3,4,3,3,2,3,4,4,2,4,2,2,3,4,3,3,3,3,3,3,2,3,2,3,3,3,3,3,3,4,3,3,3,9/8/2013 11:33:03 AM
152007282,2,5,5,4,5,1,1,3,4,3,5,5,5,2,3,5,5,5,4,1,1,3,1,4,3,1,5,5,4,4,4,3,5,5,1,5,2,1,1,5,1,4,3,5,5,4,1,1,5,2,9/8/2013 11:33:40 AM
152000653,5,4,3,2,4,4,4,3,3,4,3,4,4,4,2,4,3,5,4,4,4,3,1,4,4,2,4,2,2,4,4,2,3,3,3,4,3,2,2,3,3,2,2,0,3,2,3,2,4,4,9/8/2013 11:35:04 AM
150005595,4,4,5,1,5,3,4,2,5,5,5,1,5,4,2,4,2,5,5,4,2,4,1,1,2,2,4,3,1,5,4,3,5,4,2,5,3,2,4,4,2,4,1,4,4,3,2,1,4,3,9/8/2013 11:36:14 AM
151000295,3,4,3,2,3,3,3,3,4,1,3,4,3,4,3,2,3,3,3,4,3,4,3,4,4,3,4,3,3,3,4,3,3,3,2,0,3,3,3,2,3,3,3,3,2,3,3,2,3,3,9/8/2013 11:38:30 AM
150005813,3,5,4,5,4,3,1,3,3,3,4,2,5,4,5,5,4,4,5,1,1,3,2,2,1,2,4,4,5,5,4,1,4,4,2,5,5,1,4,4,1,3,0,5,5,4,1,1,4,2,9/8/2013 11:39:13 AM
150005902,5,3,4,2,4,3,2,2,3,4,4,5,2,1,2,2,4,4,5,5,2,1,5,5,3,0,4,1,3,5,4,1,5,4,4,2,4,3,3,5,3,4,4,2,2,4,1,3,2,2,9/8/2013 11:42:13 AM
151007493,2,4,5,4,5,3,2,1,5,5,4,2,4,4,1,5,3,4,4,3,3,4,1,2,4,1,5,3,3,4,4,1,5,4,1,5,2,5,4,4,4,3,4,5,1,5,2,1,5,1,9/8/2013 11:42:56 AM
150004091,4,4,3,2,3,3,2,2,3,3,2,3,4,3,3,2,3,2,3,3,3,2,0,2,3,1,3,2,2,4,4,3,4,3,2,4,2,1,2,3,2,3,4,4,4,3,2,2,2,3,9/8/2013 11:47:08 AM
150002946,3,4,3,4,5,3,2,3,2,3,2,1,5,3,2,5,5,4,5,1,1,2,3,3,3,2,4,4,2,5,4,2,4,5,1,5,5,1,5,5,1,3,0,5,4,5,1,1,5,2,9/8/2013 11:48:46 AM
151000395,4,3,5,4,5,3,2,2,4,5,4,3,3,4,2,3,3,3,4,4,2,4,3,4,3,2,4,4,3,4,4,3,4,4,3,5,4,3,4,4,2,3,4,3,3,3,4,3,3,3,9/8/2013 11:51:49 AM
150007592,4,4,3,3,3,2,4,1,3,4,4,2,4,5,3,2,2,4,3,3,2,5,4,4,4,2,4,2,4,4,4,1,4,3,3,4,5,2,5,3,4,4,0,4,4,5,2,2,4,3,9/8/2013 11:53:52 AM
150009880,1,4,5,5,3,4,2,1,4,2,5,2,4,2,2,5,5,4,5,2,1,5,2,3,3,1,2,5,3,4,4,3,4,4,2,5,2,3,1,5,1,4,4,3,3,3,1,1,4,1,9/8/2013 11:54:25 AM
153000176,2,4,5,4,4,2,2,3,4,4,4,3,3,4,2,4,4,4,5,2,1,2,3,2,4,2,4,3,2,4,4,3,4,4,1,4,2,3,3,4,2,3,4,4,5,4,2,1,3,3,9/8/2013 11:55:53 AM
151000395,4,4,3,4,5,4,2,3,4,5,4,3,4,5,2,3,4,4,4,4,4,4,3,5,4,3,4,5,4,4,4,4,4,5,4,4,3,3,4,4,2,3,4,5,2,4,4,1,4,2,9/8/2013 11:56:09 AM
150009154,4,3,4,4,2,4,4,4,4,2,3,5,4,4,4,3,2,4,1,4,3,4,4,4,4,4,4,1,3,3,4,5,4,3,2,4,4,3,2,1,4,1,4,4,5,3,5,2,4,5,9/8/2013 11:57:22 AM
152009139,3,4,5,2,4,4,1,5,4,4,3,5,4,4,3,5,3,4,4,2,2,4,2,4,3,2,4,3,3,5,4,2,5,4,3,5,3,2,2,3,2,4,2,4,4,3,2,2,4,3,9/8/2013 12:00:06 PM
150004413,3,3,3,1,3,2,2,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9/8/2013 12:00:31 PM
150003605,4,5,5,3,3,4,2,4,4,5,4,4,4,4,3,3,2,3,4,4,4,3,2,3,3,4,3,4,3,3,4,4,4,3,4,3,4,2,4,4,3,3,4,3,4,3,2,2,3,2,9/8/2013 12:00:33 PM
150003813,4,4,3,3,4,3,2,4,4,5,4,2,5,5,1,3,4,5,4,3,3,3,4,3,3,2,5,4,4,5,4,4,5,5,2,5,3,1,4,4,2,4,3,4,1,4,1,1,4,2,9/8/2013 12:02:46 PM
151001047,4,5,5,3,3,3,2,3,5,3,4,4,4,4,1,3,4,4,5,3,2,3,3,3,4,2,4,3,4,4,4,1,4,3,2,5,3,2,4,4,2,3,1,4,4,2,2,3,3,2,9/8/2013 12:03:21 PM
149009715,3,4,4,4,5,2,1,3,4,4,4,2,5,5,2,4,4,4,5,3,2,4,2,3,3,4,4,4,3,5,4,3,4,4,5,5,2,2,3,4,1,2,1,4,3,3,3,2,4,2,9/8/2013 12:04:10 PM
150004959,4,4,4,3,3,3,3,3,4,5,3,3,5,4,3,3,3,4,5,4,4,3,2,3,4,3,5,3,3,5,4,3,4,4,3,3,4,2,5,5,3,5,4,3,3,4,3,2,3,3,9/8/2013 12:07:14 PM
152009223,4,4,4,4,5,4,4,4,5,5,4,3,5,5,3,4,3,4,4,3,3,4,3,3,3,2,5,3,4,4,4,5,4,4,3,3,3,2,3,3,3,3,4,4,2,3,3,2,3,2,9/8/2013 12:08:10 PM
152004838,5,4,2,3,3,5,4,3,4,3,5,3,5,5,5,4,4,5,5,5,2,1,5,5,5,3,4,2,4,5,4,5,5,5,3,5,5,5,4,5,3,4,1,5,5,5,5,4,5,3,9/8/2013 12:10:46 PM
150004514,2,4,5,4,5,5,5,3,4,4,4,5,5,4,3,4,4,4,5,4,2,5,4,3,4,3,5,4,4,4,4,5,5,0,3,4,4,2,4,1,1,5,0,5,4,3,2,1,5,1,9/8/2013 12:11:31 PM
151004891,5,3,4,3,3,4,2,3,4,5,4,1,4,5,5,4,2,5,4,4,4,5,4,2,4,2,4,3,4,4,4,5,5,3,1,4,3,1,3,4,3,4,3,3,2,3,2,2,3,2,9/8/2013 12:13:17 PM
151008209,3,3,1,2,5,3,3,3,2,2,3,1,5,5,4,3,4,4,2,2,1,2,1,1,0,1,5,4,3,5,4,3,3,3,1,4,5,1,1,3,2,3,0,3,3,4,1,1,5,3,9/8/2013 12:16:04 PM
153001329,4,3,5,4,5,3,1,0,4,1,3,3,5,5,1,3,5,4,4,3,5,4,3,3,3,4,5,5,4,4,4,4,5,5,5,4,4,4,3,5,5,3,1,5,5,5,2,1,4,3,9/8/2013 12:16:32 PM
151006007,4,4,5,3,4,2,2,3,5,3,3,5,4,5,2,3,4,4,5,3,2,4,3,5,4,2,4,3,4,4,4,4,5,3,2,4,2,1,2,4,2,3,2,4,3,4,3,2,3,2,9/8/2013 12:17:56 PM
153001855,3,1,4,2,5,2,2,2,2,4,3,4,5,3,2,4,4,4,5,3,2,4,2,3,3,3,4,5,4,5,4,3,4,4,1,4,1,1,3,4,2,4,2,4,5,4,1,1,5,1,9/8/2013 12:19:15 PM
151000574,3,4,3,3,4,2,2,3,4,3,4,3,5,4,3,3,3,3,4,2,2,3,3,2,3,3,4,3,3,3,4,3,4,3,2,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,9/8/2013 12:20:31 PM
151003174,5,3,4,1,3,5,5,2,3,1,2,5,5,5,4,1,1,2,3,2,3,1,3,5,4,3,2,1,1,2,4,5,2,1,1,1,2,2,1,1,5,1,1,2,2,1,5,4,1,5,9/8/2013 12:21:20 PM
152004701,4,3,3,2,3,2,2,4,5,4,2,3,3,5,2,4,3,4,3,3,2,3,3,3,4,2,4,3,2,3,4,3,4,3,2,3,2,2,2,3,3,1,3,3,1,3,2,2,3,2,9/8/2013 12:21:26 PM
152001486,2,4,2,3,3,2,2,3,2,4,4,2,4,3,4,4,4,4,4,2,2,3,2,2,3,2,4,4,3,3,4,3,3,3,2,4,2,1,2,2,2,4,3,3,3,4,2,1,4,2,9/8/2013 12:21:27 PM
151007581,5,4,3,2,4,2,2,4,4,4,3,4,5,5,2,2,3,4,4,2,4,4,2,4,5,2,5,2,2,3,4,3,5,1,2,2,2,2,4,3,4,2,2,3,4,4,3,2,3,2,9/8/2013 12:21:35 PM
150002427,4,4,5,3,3,4,3,2,4,4,3,3,4,5,2,4,4,4,4,3,3,3,2,2,3,2,4,3,3,4,4,3,4,4,2,4,3,2,2,4,4,3,3,4,3,4,2,3,4,2,9/8/2013 12:24:52 PM
152002462,4,3,4,4,4,3,2,2,4,2,2,4,5,5,4,5,4,3,3,2,3,2,3,4,4,3,5,3,3,4,4,1,4,4,3,5,3,1,3,3,2,3,4,3,4,4,2,1,4,3,9/8/2013 12:24:56 PM
145007729,5,4,3,2,4,4,3,2,4,2,2,5,4,5,2,1,3,3,3,2,3,3,1,4,1,1,5,3,2,5,4,1,4,3,1,5,3,1,3,2,2,2,2,4,2,4,2,2,4,2,9/8/2013 12:31:20 PM
150006887,3,4,4,2,5,3,2,0,4,3,3,3,3,4,2,3,3,4,4,2,3,2,2,3,4,2,4,3,4,4,4,4,4,3,2,2,4,2,2,3,2,4,2,5,4,3,2,2,4,2,9/8/2013 12:34:33 PM
150007395,3,4,5,2,5,3,3,3,0,3,0,0,5,5,5,4,3,0,4,2,1,0,0,0,5,2,5,3,0,5,0,0,4,0,1,3,3,0,0,3,1,0,0,5,3,4,2,0,5,2,9/8/2013 12:35:43 PM
152005187,3,3,4,2,5,3,1,3,4,3,3,2,2,5,2,2,3,4,2,2,2,3,1,4,3,1,3,2,1,5,4,3,5,4,1,3,2,3,2,2,3,4,2,3,4,2,2,2,3,3,9/8/2013 12:38:38 PM
150007771,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,9/8/2013 12:39:08 PM
150004407,3,3,3,3,3,4,0,4,3,3,4,3,4,5,3,4,3,4,4,3,3,4,1,4,3,2,4,3,3,4,4,3,4,3,2,4,2,3,3,3,2,3,3,3,3,4,3,2,4,2,9/8/2013 12:40:26 PM
48000638,4,3,3,3,5,4,2,2,3,4,4,2,4,3,2,3,3,4,4,3,2,2,2,2,0,3,4,3,3,3,4,3,4,4,4,0,3,2,4,3,2,4,3,4,3,3,2,2,3,3,9/8/2013 12:43:38 PM
152005130,4,4,3,3,5,3,1,2,5,1,4,4,5,5,3,3,3,5,5,3,3,2,2,4,5,1,4,5,1,3,4,4,5,2,1,4,1,2,1,5,3,5,3,3,5,5,2,2,4,2,9/8/2013 12:44:36 PM
151007891,5,2,5,1,3,3,4,5,5,2,3,3,4,4,2,3,3,4,3,4,4,4,3,3,3,2,3,3,2,4,4,4,4,4,1,4,0,2,2,3,2,3,2,3,3,3,4,2,3,2,9/8/2013 12:45:21 PM
151000849,5,4,5,3,4,3,2,2,0,2,2,4,5,5,1,3,5,5,2,1,2,4,1,2,2,1,5,2,2,5,4,2,5,3,1,3,2,2,4,4,2,3,2,4,2,4,2,3,4,2,9/8/2013 12:49:42 PM
146006123,4,2,3,3,5,5,5,4,4,2,2,5,4,5,4,1,1,2,2,2,4,4,3,5,5,3,4,1,2,2,4,3,4,1,1,2,3,3,2,4,5,2,1,2,4,4,5,2,3,5,9/8/2013 12:49:49 PM
150008858,4,5,4,2,3,3,2,3,5,4,5,4,4,5,4,4,3,4,5,3,3,3,2,5,4,1,4,4,3,4,4,1,5,4,2,4,2,1,4,3,2,3,3,4,3,3,2,2,4,2,9/8/2013 12:51:06 PM
144001395,4,3,3,2,4,3,2,3,4,4,3,4,3,4,2,4,4,4,4,4,3,4,2,4,4,2,4,4,3,2,4,3,4,4,2,4,2,2,2,4,2,4,4,4,4,4,2,2,4,3,9/8/2013 12:52:18 PM
151008349,5,1,2,1,5,5,3,3,2,5,2,3,2,3,3,1,3,3,5,4,3,4,1,2,3,2,2,1,2,5,4,1,3,1,4,2,4,3,3,3,4,3,2,2,2,3,4,2,3,4,9/8/2013 12:53:49 PM
146006929,3,3,4,2,3,1,4,2,3,4,2,3,5,2,1,5,4,5,5,3,1,5,3,1,2,1,5,4,1,5,4,1,5,4,1,5,1,1,4,4,2,5,1,4,1,5,1,1,5,1,9/8/2013 12:55:07 PM
144001313,4,4,4,3,4,2,2,1,4,5,2,3,5,3,3,3,3,4,4,2,3,5,2,3,4,2,4,3,2,4,4,3,4,3,2,4,3,1,3,4,3,4,2,4,4,4,2,2,4,2,9/8/2013 12:57:13 PM
152002101,4,5,5,3,5,4,3,2,5,5,5,2,5,5,5,5,5,3,5,3,1,3,2,3,5,3,5,4,5,5,4,5,5,5,1,4,5,1,5,4,3,5,0,5,2,5,2,1,5,1,9/8/2013 1:01:10 PM
150003655,4,5,4,2,5,3,3,2,4,2,3,2,4,5,2,4,4,4,5,5,4,2,1,3,4,2,4,3,4,4,4,5,5,3,1,4,2,1,1,4,3,2,4,5,4,3,2,1,5,3,9/8/2013 1:03:20 PM
153003196,4,5,4,2,3,3,4,3,3,2,3,4,3,5,4,2,3,5,4,5,3,3,1,2,3,2,5,3,2,3,4,4,4,3,4,2,3,3,3,5,5,3,2,1,3,3,2,5,3,2,9/8/2013 1:04:33 PM
150002478,4,4,5,5,5,5,2,3,3,4,4,3,5,5,1,3,4,4,2,2,2,4,4,3,2,2,2,4,5,5,5,5,4,4,3,4,4,3,2,2,1,1,3,4,4,3,3,3,3,3,9/8/2013 1:08:06 PM
149009223,4,4,5,3,3,3,3,3,4,3,3,4,4,5,1,3,2,4,4,4,4,4,3,2,4,0,4,3,4,4,4,5,3,4,1,4,3,2,4,4,2,3,4,3,3,4,3,2,4,3,9/8/2013 1:13:10 PM
150002545,3,5,4,3,3,3,2,4,2,4,3,2,4,5,4,3,4,4,4,3,1,3,2,2,2,2,4,3,3,5,4,1,4,4,1,5,2,2,3,4,2,4,3,3,4,4,2,2,4,3,9/8/2013 1:17:47 PM
141006572,4,4,3,3,2,2,2,3,3,3,3,2,4,3,2,4,3,4,4,2,2,3,2,2,2,2,4,3,4,4,4,4,4,3,2,4,2,2,3,4,2,3,3,4,4,3,2,1,4,2,9/8/2013 1:20:25 PM
150002124,3,4,5,4,3,1,0,2,2,4,5,2,4,2,2,3,4,4,2,2,2,1,1,2,1,1,5,4,4,4,4,3,4,4,1,3,1,1,4,4,2,1,1,3,3,4,2,2,5,2,9/8/2013 1:29:11 PM
150004536,4,4,3,4,4,3,4,4,3,4,2,4,0,3,4,2,3,4,4,4,3,3,4,4,4,3,4,3,4,4,4,3,4,4,4,3,4,4,4,3,4,4,3,4,3,4,3,4,4,4,9/8/2013 1:29:33 PM
150003097,4,5,4,2,5,1,2,4,4,4,3,2,4,4,3,4,3,4,5,3,3,3,4,4,3,1,4,3,3,4,4,3,4,4,3,4,2,3,2,3,2,3,1,3,2,5,2,1,4,2,9/8/2013 1:38:27 PM
151002261,4,2,3,2,4,3,2,3,4,2,4,3,2,4,3,2,4,5,4,2,3,3,4,1,1,3,3,5,2,3,4,1,5,3,4,3,4,2,4,3,5,1,4,2,2,4,3,2,3,3,9/8/2013 1:44:26 PM
150009606,2,3,2,2,3,1,2,2,5,3,2,2,5,1,1,3,3,5,4,1,1,1,1,4,2,5,5,5,2,5,4,1,5,3,4,4,1,1,5,5,4,1,1,2,2,4,1,1,3,1,9/8/2013 1:52:20 PM
150008875,2,3,4,4,5,2,2,2,4,5,3,4,5,5,3,3,4,4,5,2,2,3,1,3,4,2,4,3,3,4,4,4,4,4,2,4,4,2,4,2,2,3,2,4,4,4,2,1,4,3,9/8/2013 1:53:34 PM
